104.16.60.79:443#US|5.16MB/s
198.41.197.248:443#US|4.52MB/s
104.17.114.211:443#US|1.34MB/s
104.19.11.179:443#US|2.22MB/s
104.16.35.72:443#US|6.61MB/s
104.17.11.175:443#US|3.86MB/s
104.16.147.23:443#US|3.84MB/s
104.18.201.149:443#US|3.41MB/s
104.18.68.227:443#US|1.27MB/s
104.18.22.4:443#US|1.40MB/s
104.19.253.121:443#US|4.59MB/s
104.19.124.33:443#US|1.73MB/s
104.19.51.190:443#US|3.38MB/s
104.18.99.208:443#US|1.41MB/s
104.16.8.246:443#US|10.46MB/s
104.16.226.11:443#US|3.22MB/s
104.19.241.109:443#US|8.46MB/s
104.17.171.236:443#US|4.85MB/s
104.18.200.123:443#US|4.04MB/s
104.19.245.180:443#US|10.19MB/s
104.18.30.232:443#US|8.75MB/s
